zonas,enderecos,precos,area,quarto
norte,"Vila Palmeiras, São Paulo Zona Norte, São Paulo",2200,70.0,3.0
norte,"Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1500,74.0,2.0
norte,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",1800,36.0,1.0
norte,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1400,40.0,1.0
norte,"Santana, São Paulo Zona Norte, São Paulo",1650,59.0,2.0
norte,"Santana, São Paulo Zona Norte, São Paulo",2500,45.0,1.0
norte,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1500,48.0,2.0
norte,"Vila Gustavo, São Paulo Zona Norte, São Paulo",1900,50.0,2.0
norte,"Jardim São Paulo, São Paulo Zona Norte, São Paulo",3200,61.0,2.0
norte,"Rua General Nestor Passos, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1900,40.0,2.0
norte,"Rua Cezar Zama, Santana, São Paulo Zona Norte, São Paulo",4900,160.0,3.0
norte,"Praça Garção Tinoco, Santana, São Paulo Zona Norte, São Paulo",2330,75.0,3.0
norte,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1600,83.0,3.0
norte,"Nao Informado, Santana, São Paulo Zona Norte, São Paulo",3500,220.0,4.0
norte,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",3500,154.0,4.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1600,87.0,3.0
norte,"Tucuruvi, São Paulo Zona Norte, São Paulo",1500,70.0,2.0
norte,"Rua Major Dantas Cortez, Vila Gustavo, São Paulo Zona Norte, São Paulo",1900,50.0,2.0
norte,"Rua Jacofer, Jardim Pereira Leite, São Paulo Zona Norte, São Paulo",3100,86.0,3.0
norte,"Rua Jardimirim, Jardim Do Colégio (zona Norte), São Paulo Zona Norte, São Paulo",2500,60.0,2.0
norte,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",1600,60.0,2.0
norte,"Rua Aragão, Vila Mazzei, São Paulo Zona Norte, São Paulo",1800,52.0,2.0
norte,"Rua General Nestor Passos, Jardim Paraíso, São Paulo Zona Norte, São Paulo",2000,40.0,2.0
norte,"Rua Professor José Miziara, Santa Teresinha, São Paulo Zona Norte, São Paulo",2350,75.0,3.0
norte,"Rua General Nestor Passos, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1900,40.0,2.0
norte,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",2300,44.0,1.0
norte,"Avenida Coronel Sezefredo Fagundes, Tucuruvi, São Paulo Zona Norte, São Paulo",1250,60.0,2.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1600,80.0,2.0
norte,"Rua Rubiácea, Água Fria, São Paulo Zona Norte, São Paulo",3200,83.0,3.0
norte,"Rua Manoel De Souza Azevedo, Sítio Morro Grande, São Paulo Zona Norte, São Paulo",1600,40.0,2.0
norte,"Avenida Guilherme Cotching, Vila Maria, São Paulo Zona Norte, São Paulo",2800,80.0,4.0
norte,"Rua Cauré, Vila Mazzei, São Paulo Zona Norte, São Paulo",1400,52.0,2.0
norte,"Rua Doutor Olavo Egídio, Santana, São Paulo Zona Norte, São Paulo",4000,60.0,1.0
norte,"Vila Maria, São Paulo Zona Norte, São Paulo",2800,80.0,4.0
norte,"Casa Verde, São Paulo Zona Norte, São Paulo",2300,68.0,2.0
norte,"Rua Monte D Ouro, Tucuruvi, São Paulo Zona Norte, São Paulo",1400,32.0,1.0
norte,"Rua Antônio Dias Da Silva, Vila Amália, São Paulo Zona Norte, São Paulo",1180,60.0,2.0
norte,"Rua Aviador Gil Guilherme, Santana, São Paulo Zona Norte, São Paulo",3500,76.0,2.0
norte,"Vila Mangalot, São Paulo Zona Norte, São Paulo",1100,51.0,2.0
norte,"Rua Do Canal, Vila Guilherme, São Paulo Zona Norte, São Paulo",2640,64.0,2.0
norte,"Santa Teresinha, São Paulo Zona Norte, São Paulo",2200,80.0,3.0
norte,"Vila Roque, São Paulo Zona Norte, São Paulo",1400,50.0,2.0
norte,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1300,68.0,2.0
norte,"Vila Mangalot, São Paulo Zona Norte, São Paulo",1500,35.0,2.0
norte,"Av. Nelson Palma Travassos - Jardim Pirituba, Loteamento City Jaragua, São Paulo Zona Norte, São Paulo",1500,42.0,2.0
norte,"Praça Yedo, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1400,70.0,2.0
