zonas,areas_quartos,enderecos,precos
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,58 m² construídos2 quartos,"Avenida Deputado Emílio Carlos, Limão, São Paulo Zona Norte, São Paulo",1.350
norte,52 m² construídos2 quartos,"Rua Tito Nicolau, Vila Amália, São Paulo Zona Norte, São Paulo",1.350
norte,73 m² construídos2 quartos,"Santa Teresinha, São Paulo Zona Norte, São Paulo",2.950
norte,66 m² construídos3 quartos,"Vila Nivi, São Paulo Zona Norte, São Paulo",2.200
norte,55 m² construídos2 quartos,"Rua Josefina Arnoni, Vila Irmãos Arnoni, São Paulo Zona Norte, São Paulo",1.100
norte,70 m² construídos3 quartos,"Rua Antônio Ribeiro De Morais, Vila Carbone, São Paulo Zona Norte, São Paulo",1.800
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,70 m² construídos3 quartos,"Vila Palmeiras, São Paulo Zona Norte, São Paulo",2.200
norte,74 m² construídos2 quartos,"Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1.500
norte,36 m² construídos1 quarto,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",1.800
norte,40 m² construídos1 quarto,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1.400
norte,59 m² construídos2 quartos,"Santana, São Paulo Zona Norte, São Paulo",1.650
norte,45 m² construídos1 quarto,"Santana, São Paulo Zona Norte, São Paulo",2.500
norte,48 m² construídos2 quartos,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.500
norte,50 m² construídos2 quartos,"Vila Gustavo, São Paulo Zona Norte, São Paulo",1.900
norte,61 m² construídos2 quartos,"Jardim São Paulo, São Paulo Zona Norte, São Paulo",3.200
norte,40 m² construídos2 quartos,"Rua General Nestor Passos, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.900
norte,160 m² construídos3 quartos,"Rua Cezar Zama, Santana, São Paulo Zona Norte, São Paulo",4.900
norte,75 m² construídos3 quartos,"Praça Garção Tinoco, Santana, São Paulo Zona Norte, São Paulo",2.330
norte,83 m² construídos3 quartos,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1.600
norte,220 m² construídos4 quartos,"Nao Informado, Santana, São Paulo Zona Norte, São Paulo",3.500
norte,154 m² construídos4 quartos,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",3.500
norte,87 m² construídos3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.600
norte,70 m² construídos2 quartos,"Tucuruvi, São Paulo Zona Norte, São Paulo",1.500
norte,50 m² construídos2 quartos,"Rua Major Dantas Cortez, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.900
norte,86 m² construídos3 quartos,"Rua Jacofer, Jardim Pereira Leite, São Paulo Zona Norte, São Paulo",3.100
